City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
183,Kununurra,AU,2022-04-02 20:40:19,-15.7667,128.7333,67.98,88,26,0.0,scattered clouds
184,Vihti,FI,2022-04-02 20:40:19,60.417,24.3197,29.86,58,10,7.0,clear sky
185,Georgetown,MY,2022-04-02 20:35:35,5.4112,100.3354,76.95,94,20,3.44,few clouds
186,Kapaa,US,2022-04-02 20:40:20,22.0752,-159.319,77.18,83,100,18.41,moderate rain
187,Elizabeth City,US,2022-04-02 20:40:20,36.2946,-76.2511,60.03,54,0,11.5,clear sky
188,Husavik,IS,2022-04-02 20:40:20,66.0449,-17.3389,36.14,92,100,4.54,light rain
189,Banepa,NP,2022-04-02 20:40:21,27.6298,85.5214,64.72,88,75,3.44,mist
190,Lagoa,PT,2022-04-02 20:40:21,39.05,-27.9833,59.13,70,38,14.9,scattered clouds
191,Alyangula,AU,2022-04-02 20:40:22,-13.8483,136.4192,69.67,94,86,0.0,overcast clouds
192,Padang,ID,2022-04-02 20:40:22,-0.9492,100.3543,76.24,83,33,3.83,scattered clouds
193,Kahului,US,2022-04-02 20:40:23,20.8947,-156.47,80.62,69,40,26.46,scattered clouds
194,Iqaluit,CA,2022-04-02 20:37:40,63.7506,-68.5145,26.33,86,100,3.44,overcast clouds
195,Raudeberg,NO,2022-04-02 20:40:23,61.9875,5.1352,36.27,93,100,6.87,overcast clouds
196,Bondoukou,CI,2022-04-02 20:40:24,8.0333,-2.8,79.9,68,98,6.42,overcast clouds
197,Sao Joao Da Barra,BR,2022-04-02 20:40:24,-21.6403,-41.0511,82.49,83,16,7.05,few clouds
198,Lao Cai,VN,2022-04-02 20:40:24,22.4833,103.95,55.27,80,1,1.95,clear sky
199,Dikson,RU,2022-04-02 20:40:24,73.5069,80.5464,-7.98,100,85,7.63,overcast clouds
200,Kyren,RU,2022-04-02 20:40:25,51.6828,102.1408,32.32,67,100,4.14,overcast clouds
201,Bilma,NE,2022-04-02 20:40:25,18.6853,12.9164,85.44,5,99,6.55,overcast clouds
202,Honningsvag,NO,2022-04-02 20:40:25,70.9821,25.9704,28.15,93,100,14.97,overcast clouds
203,Yeppoon,AU,2022-04-02 20:39:10,-23.1333,150.7333,69.58,71,28,12.3,scattered clouds
204,Kerman,IR,2022-04-02 20:40:26,30.2832,57.0788,62.46,20,0,6.91,clear sky
205,Faanui,PF,2022-04-02 20:40:26,-16.4833,-151.75,81.9,75,69,9.64,broken clouds
206,Matagami,CA,2022-04-02 20:40:26,49.7502,-77.6328,41.11,38,40,10.36,scattered clouds
207,Pevek,RU,2022-04-02 20:40:27,69.7008,170.3133,-6.32,95,99,2.3,overcast clouds
208,Yazoo City,US,2022-04-02 20:40:27,32.8551,-90.4056,73.71,44,5,7.02,clear sky
209,Amahai,ID,2022-04-02 20:40:27,-3.3333,128.9167,77.32,85,100,2.42,overcast clouds
